DATE,OFFENSE
2/1/15,ASSAULT W/DANGEROUS WEAPON
2/1/15,ASSAULT W/DANGEROUS WEAPON
2/1/15,ROBBERY
2/1/15,ASSAULT W/DANGEROUS WEAPON
2/1/15,ASSAULT W/DANGEROUS WEAPON
2/1/15,ROBBERY
2/1/15,ASSAULT W/DANGEROUS WEAPON
2/1/15,ROBBERY
2/1/15,ROBBERY
2/2/15,ASSAULT W/DANGEROUS WEAPON
2/2/15,ROBBERY
2/2/15,ASSAULT W/DANGEROUS WEAPON
2/2/15,ROBBERY
2/2/15,ROBBERY
2/2/15,ASSAULT W/DANGEROUS WEAPON
2/3/15,ASSAULT W/DANGEROUS WEAPON
2/3/15,HOMICIDE
2/3/15,ROBBERY
2/3/15,ROBBERY
2/3/15,ROBBERY
2/3/15,ASSAULT W/DANGEROUS WEAPON
2/3/15,ROBBERY
2/4/15,ASSAULT W/DANGEROUS WEAPON
2/4/15,ASSAULT W/DANGEROUS WEAPON
2/4/15,ROBBERY
2/4/15,SEX ABUSE
2/4/15,ROBBERY
2/4/15,ROBBERY
2/4/15,ASSAULT W/DANGEROUS WEAPON
2/4/15,ROBBERY
2/4/15,ROBBERY
2/4/15,ASSAULT W/DANGEROUS WEAPON
2/4/15,ASSAULT W/DANGEROUS WEAPON
2/4/15,ROBBERY
2/4/15,ROBBERY
2/5/15,ROBBERY
2/5/15,ROBBERY
2/5/15,ASSAULT W/DANGEROUS WEAPON
2/5/15,ROBBERY
2/5/15,ASSAULT W/DANGEROUS WEAPON
2/5/15,ROBBERY
2/5/15,ROBBERY
2/5/15,ASSAULT W/DANGEROUS WEAPON
2/5/15,ROBBERY
2/5/15,HOMICIDE
2/5/15,ROBBERY
2/5/15,ASSAULT W/DANGEROUS WEAPON
2/5/15,ASSAULT W/DANGEROUS WEAPON
2/6/15,ROBBERY
2/6/15,ROBBERY
2/6/15,ROBBERY
2/6/15,ASSAULT W/DANGEROUS WEAPON
2/6/15,ROBBERY
2/6/15,ROBBERY
2/6/15,ROBBERY
2/6/15,ROBBERY
2/7/15,ROBBERY
2/7/15,ROBBERY
2/7/15,ASSAULT W/DANGEROUS WEAPON
2/7/15,ASSAULT W/DANGEROUS WEAPON
2/7/15,ROBBERY
2/7/15,ROBBERY
2/7/15,ROBBERY
2/7/15,ROBBERY
2/7/15,ASSAULT W/DANGEROUS WEAPON
2/7/15,ASSAULT W/DANGEROUS WEAPON
2/7/15,ROBBERY
2/8/15,ASSAULT W/DANGEROUS WEAPON
2/8/15,ROBBERY
2/8/15,ROBBERY
2/8/15,ROBBERY
2/8/15,ASSAULT W/DANGEROUS WEAPON
2/8/15,ROBBERY
2/8/15,SEX ABUSE
2/8/15,ROBBERY
2/8/15,ROBBERY
2/8/15,ASSAULT W/DANGEROUS WEAPON
2/9/15,ASSAULT W/DANGEROUS WEAPON
2/9/15,ASSAULT W/DANGEROUS WEAPON
2/9/15,ASSAULT W/DANGEROUS WEAPON
2/9/15,ASSAULT W/DANGEROUS WEAPON
2/9/15,ROBBERY
2/9/15,ASSAULT W/DANGEROUS WEAPON
2/9/15,ASSAULT W/DANGEROUS WEAPON
2/9/15,ASSAULT W/DANGEROUS WEAPON
2/9/15,ROBBERY
2/9/15,ASSAULT W/DANGEROUS WEAPON
2/10/15,ASSAULT W/DANGEROUS WEAPON
2/10/15,ROBBERY
2/10/15,ASSAULT W/DANGEROUS WEAPON
2/10/15,ROBBERY
2/10/15,ASSAULT W/DANGEROUS WEAPON
2/10/15,SEX ABUSE
2/10/15,ROBBERY
2/10/15,ASSAULT W/DANGEROUS WEAPON
2/10/15,ROBBERY
2/10/15,ROBBERY
2/10/15,ASSAULT W/DANGEROUS WEAPON
2/10/15,ROBBERY
2/10/15,HOMICIDE
2/10/15,ROBBERY
2/10/15,ROBBERY
2/11/15,ROBBERY
2/11/15,ROBBERY
2/11/15,ROBBERY
2/11/15,ROBBERY
2/11/15,ROBBERY
2/11/15,ROBBERY
2/11/15,ROBBERY
2/11/15,ROBBERY
2/11/15,ASSAULT W/DANGEROUS WEAPON
2/11/15,ASSAULT W/DANGEROUS WEAPON
2/11/15,ASSAULT W/DANGEROUS WEAPON
2/11/15,ROBBERY
2/11/15,SEX ABUSE
2/12/15,ROBBERY
2/12/15,ASSAULT W/DANGEROUS WEAPON
2/12/15,ROBBERY
2/12/15,ROBBERY
2/12/15,ROBBERY
2/12/15,ROBBERY
2/12/15,ROBBERY
2/12/15,ASSAULT W/DANGEROUS WEAPON
2/12/15,ASSAULT W/DANGEROUS WEAPON
2/12/15,ROBBERY
2/13/15,ASSAULT W/DANGEROUS WEAPON
2/13/15,ROBBERY
2/13/15,ASSAULT W/DANGEROUS WEAPON
2/13/15,ASSAULT W/DANGEROUS WEAPON
2/13/15,ASSAULT W/DANGEROUS WEAPON
2/13/15,ROBBERY
2/13/15,ROBBERY
2/13/15,SEX ABUSE
2/13/15,ASSAULT W/DANGEROUS WEAPON
2/13/15,ASSAULT W/DANGEROUS WEAPON
2/13/15,ASSAULT W/DANGEROUS WEAPON
2/14/15,ROBBERY
2/14/15,ASSAULT W/DANGEROUS WEAPON
2/14/15,ASSAULT W/DANGEROUS WEAPON
2/14/15,ASSAULT W/DANGEROUS WEAPON
2/14/15,SEX ABUSE
2/15/15,ASSAULT W/DANGEROUS WEAPON
2/15/15,ROBBERY
2/15/15,ROBBERY
2/15/15,ASSAULT W/DANGEROUS WEAPON
2/15/15,ASSAULT W/DANGEROUS WEAPON
2/15/15,SEX ABUSE
2/15/15,ASSAULT W/DANGEROUS WEAPON
2/15/15,ROBBERY
2/15/15,SEX ABUSE
2/15/15,ROBBERY
2/16/15,ASSAULT W/DANGEROUS WEAPON
2/16/15,ROBBERY
2/16/15,ASSAULT W/DANGEROUS WEAPON
2/16/15,HOMICIDE
2/16/15,ROBBERY
2/16/15,ROBBERY
2/16/15,SEX ABUSE
2/16/15,ASSAULT W/DANGEROUS WEAPON
2/16/15,ROBBERY
2/16/15,ROBBERY
2/16/15,ROBBERY
2/17/15,ASSAULT W/DANGEROUS WEAPON
2/17/15,ASSAULT W/DANGEROUS WEAPON
2/17/15,SEX ABUSE
2/17/15,ASSAULT W/DANGEROUS WEAPON
2/17/15,ASSAULT W/DANGEROUS WEAPON
2/17/15,SEX ABUSE
2/17/15,ROBBERY
2/17/15,ASSAULT W/DANGEROUS WEAPON
2/18/15,ROBBERY
2/18/15,ASSAULT W/DANGEROUS WEAPON
2/18/15,ROBBERY
2/18/15,ASSAULT W/DANGEROUS WEAPON
2/18/15,ROBBERY
2/19/15,ROBBERY
2/19/15,ASSAULT W/DANGEROUS WEAPON
2/19/15,ASSAULT W/DANGEROUS WEAPON
2/19/15,ROBBERY
2/19/15,ASSAULT W/DANGEROUS WEAPON
2/19/15,ROBBERY
2/19/15,ASSAULT W/DANGEROUS WEAPON
2/19/15,ROBBERY
2/19/15,ASSAULT W/DANGEROUS WEAPON
2/19/15,ROBBERY
2/20/15,ASSAULT W/DANGEROUS WEAPON
2/20/15,ASSAULT W/DANGEROUS WEAPON
2/20/15,ROBBERY
2/20/15,ASSAULT W/DANGEROUS WEAPON
2/20/15,ROBBERY
2/21/15,ROBBERY
2/21/15,ASSAULT W/DANGEROUS WEAPON
2/21/15,ASSAULT W/DANGEROUS WEAPON
2/21/15,ASSAULT W/DANGEROUS WEAPON
2/21/15,ASSAULT W/DANGEROUS WEAPON
2/21/15,ROBBERY
2/21/15,ROBBERY
2/21/15,SEX ABUSE
2/21/15,ROBBERY
2/21/15,ASSAULT W/DANGEROUS WEAPON
2/21/15,ASSAULT W/DANGEROUS WEAPON
2/22/15,HOMICIDE
2/22/15,ROBBERY
2/22/15,SEX ABUSE
2/22/15,ROBBERY
2/22/15,SEX ABUSE
2/22/15,ASSAULT W/DANGEROUS WEAPON
2/22/15,ROBBERY
2/22/15,ASSAULT W/DANGEROUS WEAPON
2/22/15,ASSAULT W/DANGEROUS WEAPON
2/22/15,ASSAULT W/DANGEROUS WEAPON
2/22/15,SEX ABUSE
2/22/15,ASSAULT W/DANGEROUS WEAPON
2/22/15,ASSAULT W/DANGEROUS WEAPON
2/22/15,ASSAULT W/DANGEROUS WEAPON
2/22/15,ASSAULT W/DANGEROUS WEAPON
2/23/15,HOMICIDE
2/23/15,ASSAULT W/DANGEROUS WEAPON
2/23/15,ROBBERY
2/23/15,ROBBERY
2/23/15,ROBBERY
2/23/15,ASSAULT W/DANGEROUS WEAPON
2/23/15,ROBBERY
2/23/15,ROBBERY
2/23/15,ROBBERY
2/24/15,ASSAULT W/DANGEROUS WEAPON
2/24/15,ROBBERY
2/24/15,ASSAULT W/DANGEROUS WEAPON
2/24/15,ROBBERY
2/24/15,ROBBERY
2/24/15,ASSAULT W/DANGEROUS WEAPON
2/24/15,ROBBERY
2/25/15,ROBBERY
2/25/15,ASSAULT W/DANGEROUS WEAPON
2/25/15,ASSAULT W/DANGEROUS WEAPON
2/25/15,SEX ABUSE
2/25/15,ASSAULT W/DANGEROUS WEAPON
2/25/15,ROBBERY
2/25/15,ROBBERY
2/25/15,ROBBERY
2/25/15,HOMICIDE
2/25/15,ASSAULT W/DANGEROUS WEAPON
2/25/15,ROBBERY
2/25/15,ASSAULT W/DANGEROUS WEAPON
2/25/15,ROBBERY
2/25/15,ASSAULT W/DANGEROUS WEAPON
2/26/15,ROBBERY
2/26/15,ROBBERY
2/26/15,ROBBERY
2/26/15,ROBBERY
2/26/15,ROBBERY
2/26/15,SEX ABUSE
2/26/15,ROBBERY
2/26/15,ROBBERY
2/27/15,ASSAULT W/DANGEROUS WEAPON
2/27/15,ROBBERY
2/27/15,ASSAULT W/DANGEROUS WEAPON
2/27/15,ASSAULT W/DANGEROUS WEAPON
2/28/15,SEX ABUSE
2/28/15,ROBBERY
2/28/15,ROBBERY
2/28/15,ASSAULT W/DANGEROUS WEAPON
2/28/15,SEX ABUSE
2/28/15,ASSAULT W/DANGEROUS WEAPON
2/28/15,ASSAULT W/DANGEROUS WEAPON
2/28/15,ROBBERY
2/28/15,ROBBERY
2/28/15,ASSAULT W/DANGEROUS WEAPON
2/28/15,ROBBERY
2/28/15,ROBBERY
2/28/15,ROBBERY
2/28/15,ROBBERY
2/28/15,ASSAULT W/DANGEROUS WEAPON
2/28/15,ASSAULT W/DANGEROUS WEAPON
2/28/15,ASSAULT W/DANGEROUS WEAPON
2/28/15,ASSAULT W/DANGEROUS WEAPON
2/28/15,SEX ABUSE
3/1/15,ROBBERY
3/1/15,ASSAULT W/DANGEROUS WEAPON
3/1/15,ASSAULT W/DANGEROUS WEAPON
3/1/15,ROBBERY
3/1/15,ROBBERY
3/1/15,ASSAULT W/DANGEROUS WEAPON
3/1/15,ROBBERY
3/1/15,ROBBERY
3/1/15,ROBBERY
3/1/15,SEX ABUSE
3/1/15,ASSAULT W/DANGEROUS WEAPON
3/1/15,ASSAULT W/DANGEROUS WEAPON
3/1/15,ASSAULT W/DANGEROUS WEAPON
3/1/15,ASSAULT W/DANGEROUS WEAPON
3/1/15,ROBBERY
